sen_a,sen_b,label
新还珠格格之燕儿翩翩飞全集打屁股,求歌词：新还珠格格之燕儿翩翩飞,0
找一部恐怖片，,求一部恐怖片！,1
河南农业职业学院怎么样·听许多人都说不好·,300分第二志愿报河南农业职业学院有希望上吗,0
气血虚吃什么啊,气血亏吃什么？,1
您是又用的什么银行卡呢,是您的证银行卡的是具体的是在北方还是南方办理的呢？,0
这鼠标什么牌子的？,大家都用什么牌子的鼠标？,1
用支付宝充话费充错了怎么办？,支付宝充值手机话费错了可以退吗,0
威尼斯的小艇课后小练笔和课后第一题怎么写？,五年级下册威尼斯的小艇的小练笔写郑州的,0
网上怎样赚钱啊？,网上还可以怎样赚钱？,1
在百度上的提问怎么样删除,百度提问怎么删除？,1
求我愿你知道吉他谱,你知道我在等你吗的吉他谱,0
求好看的末世小说,和后宫甄嬛传一样好看的小说,0
张杰唱歌好听么？,张杰唱歌好听不,1
关于吕蒙的成语,吕蒙和哪个成语有关,0
百度贴吧怎么取消关注？,百度贴吧怎么取消关注,1
紫色郁金香花语是什么？,紫色郁金香的花语是什么？,1
有没有两人合作的小魔术,有没有简单易行的小魔术,0
是什么卡通形象？,这个卡通形象叫什么,1
眼睛怎样快速消肿？,怎么让眼睛快速消肿？,1
美容护肤，美容护肤都用哪些护肤产品？,美容护肤产品太多了怎么选？医美肤好吗？,0
有没有下电子书的比较好的网站？,有没有什么比较好的电子书下载网站啊？,1
怎么让一个人，对你有好感？,嘿嘿，喜欢一个人怎么说？,0
求邓紫棋唱的你把我灌醉伴奏,邓紫棋你把我灌醉伴奏,1
七夕一个人怎么过。,七夕一个人怎么过,1
我是歌手第二季直播在哪里看,哪里可以看我是歌手直播,1
轻音少女表情包,轻音少女的表情包,1
非常抱歉的，您如果无法提供的话，这边也是无法核实的。,抱歉，根据这个订单号，这边无法查询，这边需要根据交易号查询的。,0
与狗狗有关的电影。,和驴有关的电影,0
来一些好玩的网页游戏？推荐几个不用下载的。,推荐几个好玩的网页游戏，小游戏，打游戏。,0
找一本穿越到唐朝的小说,找一本穿越在唐朝的小说,1
为什么有些问题在这里提交不了，,为什么提交不了问题,1
谁有不要的小花仙号，送我,谁借我一个逆战好，有抢的,0
今天是什么特殊的日子？,今天是什么日子？,1
薏米红豆粥减肥,红豆薏米粥煮久了怎么是苦的,0
吃虾引起的胃疼该吃什么药,雾霾是由什么引起的。,0
冲锋衣什么牌子的比较好啊,什么牌子的冲锋衣比较好呢？,1
中海油的待遇怎么样？,中海油服待遇怎么样,1
弄假成真，指什么生肖？,弄假成真，猜是什么生肖？,1
猕猴桃怎么吃啊,怎么剥猕猴桃,0
怎么可以瘦大腿？,怎么样瘦大腿？,1
最美癌症女孩参加哪期中国梦想秀,最美癌症女孩是中国梦想秀哪一期,1
这张图片是哪个动漫里的人物？,这张图片中的动漫人物是谁,1
怎么样让自己的力气变大,如何科学的让自己的力气变大,1
父爱作文,无锡日语学习去哪边,0
求杨幂这张高清大图,求杨幂这张高清大图急,1
如何提高自己的性能力（男）,如何增强自己的性能力(男生),1
求这双鞋子淘宝链接,这是什么鞋子求淘宝链接,1
这边帮您转接相关的工作人员核实一下，你看可以吗,真的很抱歉的，小二这边帮您转接相关工作人员帮您核实一下，可以吗,1
教师节送什么礼物好。,教师节送什么礼物,1
广东技术师范学院和广东文艺职业学院,广东文艺职业学院离广东陪正学院有多远,0
求这张图片的无水印图,这张无水印图片谁有,1
请问这个是什么什么成语？,请问？惊？寒是什么成语,0
"气球飞走了,兔妈妈送给小兔子一串气球看图写故事",如果我是一只能飞又有魔力的兔子作文,0
中日开战谁会赢,明天会更好原唱是谁,0
有谁喜欢李易峰？,你们有谁喜欢李易峰？,1
自己做什么小生意好,有什么小生意好做,1
京东商城买化妆品可靠吗？,京东上卖的雅漾化妆品是不是正品？,0
今年春晚好看吗？,今年春晚好看吗,1
大闸蟹怎么蒸,怎样吃大闸蟹,0
对的，有就是绑定在这个账户的，您另外一个账户需要您登陆另外一个账户查询,请您核实对方查询的账户是否正确，请登录到正确的账户下查询下账户的余额。,0
如何提取图片上的文字,如何从图片中提取文字,1
史密斯净水器怎么样,史密斯净水器怎么样？,1
男生脸大额头也高留什么发型好看,男生额头大适合什么发型,0
形容时间很短的成语,形容时间短的成语有哪些,1
亲，支付宝客服是有不同的分工的，我帮你转接到对应客服帮您查询一下,好的，若是，没有到账，您记下对方客服的工号、查询时间我们给您处理,0
为什么小米手机这么便宜？,小米手机为什么那么便宜,1
技术流网游小说,技术流的网游金庸小说,0
电脑版神庙逃亡怎么控制,神庙逃亡电脑版怎么左右倾斜,1
来自星星的你第二部什么时候上映？,来自星星的你第二部什么时候演啊,1
这妹子是哪部动漫里的？,这妹子是谁，应该是哪部动漫里的吧，求动漫名,1
已经给您发送了，辛苦您看一下的，辛苦您了。,已经重新给您发送，辛苦您查收下的，辛苦您了的,1
唯品会送货是什么快递,唯品会用的是什么快递,1
二级建造师注册挂靠需要提供社保证明吗？,二级建造师注册需要多长时间,0
是查询收支明细的，退款以收支明细的为准,您查看下您的收支明细查看下的，支付宝每一笔支出和收入在收支明细有显示的,0
时空猎人怎么找回帐号,时空猎人怎样找回帐号号,1
【急求】地狱少女铃声,地狱少女铃声,1
用苏泊尔电压力锅怎么做米饭,苏泊尔压力锅米饭怎么做,1
灿烂的反义词是什么呢？,灿烂的反义词是什么,1
奥克斯手机型号T5001怎么截图,奥克斯V920怎么上网怎么截图,0
什么方法能赚快钱,有什么方法去毛,0
我想知道这是哪部动漫！,谁知道这是哪部动漫啊？,1
剑灵雪花在哪刷快,剑灵哪刷雪花快,1
羊水穿刺结果,羊水穿刺的结果,1
福建产什么茶,福建有什么酒,0
怎么样可以增肥？,什么药可以增肥,1
跪求《万有引力变奏曲》漫画,求《万有引力—变奏曲》漫画？,1
古代皇帝玩妃子动画,古代皇帝玩妃子游戏王,0
开封什么地方好玩啊,开封都有什么好玩的地方啊,1
国内邮政小包,关于邮政国内小包,1
河南城建学院在哪里,我可以上扬州大学广陵学院么,0
求一部电影的片名：,求一部电影的片名,1
女生打几个耳洞正常吗？,女生打几个耳洞吗,0
ぱが是什么意思,巴嘎押路是什么意思,0
狗为什么不能吃葡萄,都说狗不能吃葡萄，为什么呀？,1
"用鸡蛋煮熟在脸滚,有什么好处",用煮熟的鸡蛋给宝宝滚脸有什么好处,0
永记吾爱永乎伤伊什么意思,你知吾心你知吾爱什么意思,0
万兽之王是谁,腾讯公司的老板是谁,0
奥奇传说勇者之塔哪里进,奥奇传说的勇者之塔在哪里,1
找一张《海贼王》索隆图片,我想找一张图片的完整图,0
求英雄联盟超神的音效,求英雄联盟超神音效。,1
碱的化学式有哪些,化学式有哪些啊，给我说,1
毛驴县令喜鹊谁演的,少林寺传奇藏经阁谁和谁好,0
不字开头的成语有哪些,四字开头的成语有哪些,0
什么电影比较好看呢？,什么电影比较好看？！,1
怎样让胡子长得又多又密,怎么样才能让胡子长得快。,0
张冠李戴是什么意思？,张冠李戴什么意思,1
小学英语作文怎么写？,如何写好小学英语作文？,1
怎样煮栗子最好吃,鲜栗子怎么吃才好吃,0
感觉有点累啊,感觉有点累呢,1
在酷我音乐盒中如何上传歌词？,怎么在酷我音乐盒上上传歌词,1
怎么找回微信密码？,微信密码忘了怎么找回？,1
新浪微博微群邀请好友失败是什么原因啊,微博里的名人都是真的吗？,0
江门那里有桑拿,江门哪里还有桑拿,1
如何下载会声会影,怎么下载会声会影,1
什么牌子的沐浴露,这个沐浴露是什么牌子的？,1
豺和狼哪个厉害,狼和豺哪个厉害,1
咋能天天飞车开挂了,天天飞车怎样开挂。,1
去头屑用什么洗发水好！,去头屑用什么洗发水好？,1
诺和是什么？哪里的品牌？,菠萝是长在地上，还是早在树上？,0
在不在可爱美女,有性感美女在不,0
上海川沙哪个区,上海川沙在哪个区？,1
苏宁和国美哪个好,国美和苏宁哪个好,1
什么牌子的鞋子好,这鞋子是什么牌子的,0
休闲运动服有哪些品牌？我想要所有的品牌。,推荐几个运动休闲时尚的大品牌？,0
怎么用手机充值支付宝,在手机上怎样给支付宝充值,1
杭州乐园好玩吗,杭州乐园好玩吗？,1
这是什么动漫的图片,这是动漫还是图片,0
您可以点击【账户资产】-【账户收支明细】进行查询一下，是充值到账户余额的,进入基金公司网页，点击页面左侧基金工具箱里的【我的资产查询】，查询一下哦,0
有没有新还珠的小说版,有没有很黄很肉的小说,0
苹果能治腹泻吗？,煮的苹果能治腹泻吗,0
这笔金额可能由于网络繁忙，数据传输出现网络延迟，导致没有支付成功,这笔金额可能由于网络繁忙，数据传输出现网络延迟，导致没有支付成功的。,1
重庆化工职业学院好么？,重庆市化工职业技术学院的毕业证在全国认不认可啊,0
山东省人民医院,江苏省人民医院,0
淘宝卡在哪里办，怎么办的？,淘宝号在哪里能买到,0
这个是什么东东,清吧是什么东东,0
求此图动漫出处！,求此动漫图的出处，急！,1
求三国梦想无惨系列全集，中文的,求三国梦想漫画全套，全集中文的,0
安卓系统怎么同时下载两个微信,安卓手机怎么能开两个微信,1
怎么样才能提高自己的幽默感？,如何提高幽默感？,1
这鞋子淘宝有卖么求链接,这件衣服哪里有卖得，求链接,0
有没有靠画漫画、动漫在家能赚钱的方法？,日本画漫画的，和做动漫的怎么赚钱,0
奥运会志愿者申请书怎样写,08奥运志愿者申请要求,0
有电脑了怎么在家也能赚钱？,在家怎么用电脑赚钱？,1
春晚相亲相爱伴奏,春晚相亲相爱的伴奏,1
您的这个情况小二是建议转接帮助您的，您看是否可以的呢？,您好.您的情况小二核实了一下.您的这个情况建议付款方来联系我们就可以了.,0
儿童科幻画图片,科幻画图片构思,0
木浮生的独家记忆,木浮生独家记忆,1
亲您输入一下您的信息帮您核实,没事的呢，吃一堑长一智，有了这次教训，下次再也不要去相信的了哦,0
这个红色的花是什么花,红色的肉虫是什么,0
中国好声音第二季冠军是谁,中国好声音第二季下冠军是谁,1
怎样让腿变细,为什么我还是不能变身,0
求一首歌儿童歌曲的名字,求一首儿童歌曲名字,1
大学生做什么兼职好,大学生做什么兼职好？,1
怎样下载来自星星的你,来自星星的你下载,1
三星手机和小米哪个好？,三星和小米手机哪个好,1
巧舌如簧的簧是什么意思,巧舌如簧什么意思,0
请问这个是什么什么成语？,请问()至()来的成语是什么,0
男生染发什么染颜色帅,短梨花头最适合染什么颜色的？,0
手机照片误删了，怎么恢复啊,手机相机里的照片被误删了，如何恢复,1
阿里巴巴旗下都有哪些网站,阿里巴巴旗下网站,1
摩托车化油器漏油咋了,摩托车化油器漏油怎样修？,0
请问北京市公积金贷款可以使用几次,请问北京市乒乓球协会的电话和网址,0
最美的女明星的脚是谁,女明星的脚谁的最美,1
怎样快速解冻肉,怎么能让肉快速解冻,1
这是什么漫画里的人物,这是什么漫画里的人物？,1
什么运动瘦大腿效果最好,做什么运动瘦大腿效果最好,1
东莞车可吾可以入广州,从韩国到中国的物流,0
"我喜欢上了一个已婚的男人该怎么办,",我喜欢上一个已婚男人我还怎么办,1
求耽美小说！,求耽美小说。,1
找一个重生类的小说,找三国类网游小说,0
年货买什么好,年货都要买什么,0
有没有在家，也能挣钱的工作，,请问有没有在家就可以挣钱的工作呀,1
世界上什么人一下子变老,世界上什么人一下子变老？,1
西瓜地里散步—打一谚语,西瓜地里散步，打一谚语,1
和守护甜心一样的动画片,有没有像守护甜心一样的动漫,1
女孩什么意思,女孩说去死什么意思,0
帮帮忙!高一语文寒假作业上面的~,谁有高一寒假作业的答案,0
这配置能玩热血无赖么？,我这个配置能玩热血无赖么,1
酷狗叮咚歌词,酷狗歌词有关的,0
辶字旁的字有哪些,舍字旁的字有哪些字,0
梦见抱着别人的孩子吃自己的奶,梦见别人生孩子,0
“几处早莺争暖树.谁家新燕啄春泥”出自哪首诗,几处早莺争暖树谁家新燕啄春泥用什么写出了,0
郑州都有什么好玩的？,郑州有什么好玩的？,1
用其中三个造句。,用三个真造句,0
求东京恋爱模样百度云，最好带翻译,求东京恋爱模样7集带字幕的，360百度云的最好,1
怎样下载漫画在手机上,怎样用手机下载漫画,1
新天龙八部好玩吗？,新天龙八部好玩么？,1
快过年了，摆地摊卖什么好？,要过年了，摆地摊卖什么好呢？,1
怎么查询话费清单,怎样查询话费清单,1
怎么在网上买彩票？安全吗？,请问网上怎么买彩票呀？安全吗？,1
怎样才能生男孩,怎样才能生男孩？,1
今年流行什么发型？,今年流行什么发型？求图,1
现在有什么电影上映,现在新上映的电影有什么,1
吃安眠药会吃死人吗,你有安眠药吗,0
秋天什么像什么一样？,秋天吃什么对肺好,0
为什么说宪法是国家根本大法？,为什么说宪法是国家的根本大法？,1
皮肤病该怎么治疗呢？,难治的皮肤病到底该怎么治疗,1
这是时空猎人的那个版本,时空猎人这是什么版本的,1
天天飞车里面的武器，哪个最好,天天飞车哪个武器最强,1
什么科幻片好看,有什么好看的科幻片,1
你奶奶个熊是什么意思嘛,奶奶个呆皮什么意思,0
怎么才能让人起死回生！？,怎样能起死回生,1
什么宽带最好用,宽带用什么最好,1
怎样快速长头发？,怎么快速长头发.,1
哪部动漫里的,这个是哪部动漫},1
尚铭按摩椅怎么样？,尚铭按摩椅怎么样，好？,1
盆腔积液严重吗？,我这个盆腔积液严重么？,1
什么壮什么猛的四字词语,欢什么活什么的四字词语,0
过年穿什么衣服好？,过年买什么衣服啊,1
关于诗海拾贝的手抄报,手抄报诗海拾贝,1
宝安区沙井兼职,求兼职沙井附近,0
怎样让鼻子变小呀？,怎么让鼻子变小？,1
您好，我这边是看不到您的账户的，麻烦您提供一下,请别着急，麻烦您先提供您的支付宝账户，这边为您详细记录被骗的情况。,0
土豆丝怎么烧最好吃？,菜夹馍土豆丝怎么变好吃,0
百度贴吧问题,关于百度贴吧的问题。,1
鲜鲍鱼怎么做好吃,鲍鱼要怎么煮才好吃呢？,1
带有壮这个字的词语有哪些？,带有励的词语有哪些？,0
请问这个图片的出处？,请问这个图片出处以及是谁,1
由衷是什么意思,由衷的意思是什么？,1
户外运动品牌那些好一些,户外运动品牌有哪些,0
白日依山尽的下一句是什么？,白日依山尽的下一句是什么,1
未来几天北京天气,未来几天深圳天气,0
把图片上的字换掉,像张杰的人，加图片,0
康宝莱奶昔怎么用？,康宝莱奶昔怎么吃,0
上海哪有地方钓鱼,上海哪有钓鱼的地方,1
辞职报告怎么写,怎么写辞职报告,1
大众汽车是哪个国家的？,大众到底是哪个国家的汽车品牌啊,1
工行的服务时间是早上10点到晚上的18点，,建议您关注时间为提交后的2个工作日（1个工作日审核时间+24h生效时间）,0
谁能告诉我这是什么成语,谁能告诉我这个是什么成语啊,1
没房子怎么结婚啊？,没房子怎么结婚,1
喜洋洋和灰太狼,那个喜洋洋的歌,0
什么牌子保暖内衣好？,什么牌子的保暖内衣好,1
不一样的美男子演的什么啊？,不一样的美男子什么时候播？,0
好的亚麻凉席好吗,亚麻凉席能晒吗,0
非婚生子女怎样上户口,非婚生子怎样上户口？,1
什么酒价格最贵？,什么酒价格最贵?,1
灰心的反义词是什么,灰心的反义词是什么？,1
本命年可以结婚吗,本命年能结婚吗,1
北京哪个驾校好啊？离丰台区又比较近？,北京现在哪家驾校比较好？我住北四环这边。,0
直排轮滑鞋后面刹车的可以拆吗？,成人直排轮滑鞋为什么没有刹车啊？,0
请问这条裤子什么牌子？,我想知道这条裤子是什么牌子,1
李时珍林则徐辛弃疾王冕分别是哪个朝代的,王冕是哪个朝代的诗人是宋代吗,0
保护小动物的标语,保护动物的标语。,1
江南四大才子是谁,江南四大才子都有谁啊?,1
老湿视频作品全集,老湿视频全集,1
最近有什么好歌听？,最近有什么好歌听呢,1
天天酷跑怎么得高分？,天天酷跑怎么玩更高分？,1
我的微信怎么没漂流瓶,怎么在微信上玩漂流瓶,1
短道速滑和速度滑冰有什么区别,短道速滑和速度滑冰有何区别？,1
赛尔号经验券怎么用,赛尔号经验卡怎么用？,0
中国农业信息杂志是不是核心期刊,中国农业科技杂志,0
中国惊奇先生？,中国惊奇先生英文名,0
材料的特性有哪些,材料有哪些特性,1
张杰，你和谢娜打算什么时候生孩子,张杰和谢娜什么时候要孩子,1
如何去除脸上的痘痘？,脸上有痘痘，该怎么去除？,1
狗肉怎么吃好吃？,狗肉怎么做才好吃,1
天津哪家妇科看的好,天津哪家妇科好,1
把接待宾客的当地主人喻为。,把接待宾客的当地主人喻为(),1
保时捷卡宴这车怎么样？,保时捷卡宴3.0混合动力车怎么样,0
布洛克莱斯纳与大秀哥谁力气大,布洛克莱斯纳与大秀哥谁的力气大,1
韩文洋怎么写,因为你的韩文怎么写,0
什么药让男人吃了绝育,有什么药男人吃了可以绝育？,1
怎么样能学会蛙泳,怎么样可以长高,0
您好，请问150的账户是使用您的身份信息注册的吗？,您好，请问157的账户是使用您的身份信息注册的吗？,0
旺旺就是淘宝淘宝就是旺旺,亲，您说的是淘宝阿里旺旺对吗,0
请问这个是什么品种的狗狗？,请问这是什么品种的狗狗,1
如何可以让自己力气变大,如何让自己手的力气变大,1
如何做好天猫商城的推广，提高店铺流量,怎么提升天猫商城网店销量？怎么运营一家店铺？,0
下水道美人鱼哪里可以看,下水道的美人鱼在哪里可以看,1
《别逼我结婚》好看吗,别逼我结婚好看吗？,1
怎么样才能让自己内心强大,怎么让自己的内心强大,1
什么面膜又好用又便宜呢？,什么面膜好用又便宜？,1
电影海报的作用,图中是哪部电影海报元素？,0
问一部足球动画片,一部关于足球的动画片,0
看这竞彩足球是在买什么,这是在常熟的哪里？,0
别人为什么能登陆我的微信,我的微信在别人的手机里可以登陆吗,0
永琪美容美发怎么样？,永琪美容美发怎么样,1
什么煮蛋器好？,研究什么？,0
寻求画面美型的动漫,画面美网页游戏,0
共勉之什么意思,共勉之是什么意思啊,1
郑秀妍和郑秀晶谁漂亮,郑秀妍和郑秀晶谁拍漂亮些,1
怎么注册贴吧帐号？,唱吧帐号怎么注册,0
胃不好吃红薯行吗,为什么方便面煮着比泡着好吃？,0
上海熙鼎的空气净化器控制板多少钱？,空气净化器价格多少钱,0
天天酷跑破解版,天天酷跑的最新版,0
妹纸是什么？,什么叫把妹纸,0
什么星座的人最善良,什么星座最善良,1
公园里都有什么花,公园里有什么,0
求简单易学的小中型乐器,简单易学的小魔术,0
你家的猫咪叫什么名字？,叶修家的猫叫什么名字,0
多看书可以有什么好处,多看书有什么好处？,1
寻找一部电视剧的名字,问一部动画的名字,0
幸福像花儿一样好看吗?,幸福像花儿一样哪几集好看,0
求纯DOS环境下重启计算机的外部命令,计算机DOS命令,0
网游之纵横天下TXT全本,网游之纵横天下在线阅读,0
进击的巨人好看吗！讲什么的？,进击的巨人讲的什么好看么,1
请问您是一个手机号码注册了一个手机账户和绑定一个邮箱支付宝账户的吗？,看一下是否登错账户呢，手机号码支付宝账户和邮箱支付宝账户不一样的呢^_^,0
我不做大哥好多年是什么时候的歌,我不做大哥好多年，噢耶,0
一首很嗨的女生唱的英文歌,有一首女生唱的英文歌,1
求搞笑动态图片！急！,求动漫！迅雷！种子：,0
自卫的反义词是什么,自卫的反义词是什么呢,1
求《黄飞鸿之英雄有梦》观看地址,《黄飞鸿之英雄有梦》哪里能观看？,1
用什么软件看电视直播好啊,用什么软件能看电视直播,1
最近电影院有什么好看的电影啊,最近有什么电影好看的,1
关于古诗词的书,惜粮的古诗词,0
么加一笔变什么字,月，加一笔，念什么字？,0
黑姬桎梏之棺,黑姬桎梏の馆,1
给孩子买什么保险好,给孩子上什么保险好？,1
千金女贼全集哪里有？,有多少人在看何以笙箫默？,0
哥哥姐姐拜托拜托拉,拜托拜托，哥哥姐姐们,1
怎么抽到天天酷跑里的舞狮闹闹,天天酷跑怎么抽到舞狮闹闹,1
纵横交错的错是什么意思,纵横交错的错是什么意思？,1
谁给推荐个好玩的单机游戏呗！,谁能推荐点好玩的单机游戏？,1
电影这是哪部？,这是哪部电影里的,1
吃减肥药会有什么副作用？,吃减肥药，有什么副作用没？,1
帝豪车怎么样,帝豪车怎么样？,1
天天酷跑上的挡板是讲的什么,天天酷跑什么叫挡板图么,0
这些音标是什么？,这个音标是啥,1
相逢何必曾相识}什么意思,相逢何必曾相识是什么意思啊？,1
有好的可以瘦脸的方法吗？,有什么好的方法可以增高的,0
梦见别人在数钱,梦见买自己车别人开车去摘菜,0
降血糖有什么茶,什么是降血糖,0
金陵科技学院现在怎么样？各方面的.,金陵科技学院好吗？正规吗?,0
成语大全四字成语什么前什么后,反义词组成成语名什么实什么,0
旧照片翻新教程,旧地板如何翻新？,0
手机百度云怎么添加视频应用,如何在手机上使用百度云,0
一万块钱可以做点什么小生意，,一万块钱能做什么小本生意,1
抱歉，这个是需要联系银行的。,抱歉，这个是您需要联系对方协商的，,0
中秋给领导送礼送什么好,中秋节给领导送礼送什么月饼好呢,1
（打一成语）,四通八达（打一成语）,0
户口本需要本人信息页和户口专用章页，是上传的这2个吗？,户口本/常住人口登记表/集体户口登记卡、个人变更证明、户籍证明三选一,0
天王盖地虎下一句是什么？,天王盖地虎的下一句是什么？,1
这图片是什么电影?,这是什么电影的图片,1
酸奶跟什么不能一起吃,酸奶不能和什么药一起吃,1
怎么都没人理我啊,怎么都没人理我？,1
有什么好看的爱情动漫推荐吗？,有什么好看的爱情动画,1
帆布鞋的鞋带有几种绑法？,高帮帆布鞋鞋带系法有哪些？怎么系高帮帆布鞋？,0
天柱山在哪里,天柱山在哪里呀？,1
我忘记淘宝的密码了，怎么办？,我的淘宝密码忘记了怎么办,1
中学生怎样赚钱,中学生怎么赚钱？,1
什么发型好看,我弄啥发型好看,0
苹果手机铃声怎么设置,苹果怎么设置手机铃声,1
有什么香水好呢,什么牌香水好,1
怎么跟你不想失去的人说再见,怎样和不想失去的人说再见？,1
软件的拼音是什么,有什么软件？是可以拼音的呢？,1
如何修改淘宝会员名,怎么改淘宝的账户名？,1
牛顿的故事书,威尼斯的小艇,0
怎么瘦小腿肚。,如何瘦小腿肚？,1
有哪些好听的歌？,好听的歌有哪些？,1
这是什么石头？红的,这是什么的石头？,1
孕妇不可以吃饼干吗,孕妇可以吃饼干吗？,1
白底黑字的图片是用什么作图软件,这款作图的APP软件是什么？,0
求天空之城前奏吉他谱,《天空之城》的吉他谱子？急,1
中学生怎么在网上赚钱,中学生怎样在网上赚钱,1
阿玛尼手表是什么价格？,乔治，阿玛尼，手表什么价格,1
桂林山水甲天下的下一句是什么？,桂林山水甲天下的下一句是什么,1
吴昕海涛结婚了吗,吴昕杜海涛结婚了吗,1
成都哪个驾校好？,成都哪个驾校好。,1
这些都是什么游戏,这是什么游戏？是手游么？,0
孕妇吃什么好,孕妇饿了吃什么好,1
世界上最多的人是哪个国家,世界上最贱的是哪个国家,0
想找给店名小吃店的,开小吃店，求店名,1
老婆，我爱你！,我老婆我爱你,1
中文名字翻译成韩语,中文名字翻译成韩文,1
怎么讨好老婆？,怎么讨好我老婆呢！,1
寂寞才说爱的歌词,因为有你的爱所以才不寂寞歌词,0
卡丝面膜怎么样,卡丝面膜如何,1
这是什么盆景,这是什么盆景？,1
请问这个是什么东西？,请问这东西有什么用？,0
快递什么时候放假,快递员什么时候放假,0
地下城男大枪穿什么甲,地下城勇士角色名,0
图片国外网站不是色情的,寻求一国外的动漫图片网站,0
这是什么牌子的移动电源啊？,这是什么牌子的移动电源？,1
清华大学怎么样？,清华大学怎样,1
晶莹的反义词是什么？,晶莹的反义词是什么,1
如何宣传自己的网店呢？,怎样宣传自己的虚拟网店,1
石家庄哪里有卖婚纱的,石家庄哪里买婚纱？,0
隔夜的白开水能喝吗？,隔夜的白开水可以喝吗？,1
吃药期间能吃鱼吗,吃药期间能吃辣吗,0
这是不是狐狸眼,这只老虎可爱吗,0
世界上谁最帅,世界上最帅的是谁,1
什么是智能手环,智能手环是做什么的,1
那我为您创建受理单修改您看可以吗,这里帮您创建认证信息修改的受理单，您填写下可用的邮箱,0
淘宝怎么不升级了？,网上被骗怎么举报？,0
猕猴桃怎么吃,如何剥猕猴桃,0
深圳社保补办过后银行可以查出办理了社保吗,深圳湖北大厦补办身份证过期的社保卡可以不,0
合肥解放军电子工程学院,解放军电子工程学院生活,0
大写的百怎么写？,四的大写怎么写,0
怀孕了可以喝燕麦片吗,怀孕能吃燕麦片吗？,1
交通银行的联名卡服务电话是多少?,请问交通银行客服电话号码是多少?,0
三星手机好不好用？,三星的手机好不好？,1
祖国我为你骄傲手抄报怎么写？,欠你的幸福繁体字怎么写,0
百度贴吧怎么私信别人？,百度贴吧怎么私信？,1
李小龙真的很厉害吗,李小龙真的很厉害吗？,1
宁波哪里能把中药磨成粉？,成都哪里可以把中药磨成粉,0
韩语哥哥怎么说？,韩语的哥哥怎么读,1
哪个牌子的零食好吃？,薯片哪个牌子好吃？,0
世界上最长的河流叫什么,世界上最长的河流是什么？,1
行车记录仪有什么用？,行车记录仪有什么用,1
驴妈妈旅游网外国游怎么样？可靠吗？,驴妈妈旅游网违规不给票不退款怎么办,0
显卡怎么看好坏？,显卡好坏怎么看？,1
有什么办法可以去黑头?,去黑头的办法是什么?,1
